report_id,final_tags
Barrier_analysis_for_the_social_economic_integrati,"['Local_market_developments', 'Humanitarian_Support_and_Services', 'Sustainable_livelihoods_and_ecosystems', 'The_R4_Rural_Resilience_Initiative', 'UN_Humanitarian_Air_Service', 'Resilience_building', 'Food_systems', 'Private_sector', 'Food_safety_and_quality', 'Food_security_analysis']"
Biography_Assistant_Executive_Director_for_Workpla,"['Partnerships', 'UN_agencies_and_international_institutions', 'Humanitarian_Support_and_Services', 'Emergency_relief', 'Centre_of_Excellence', 'Executive_Board']"
Biography_Chief_Financial_Officer_Robert_van_der_Z,"['UN_agencies_and_international_institutions', 'Governance_and_leadership', 'Partnerships', 'Executive_Board', 'Climate_risk_management_insurance_and_financing', 'Corporate_strategy']"
Brazil_Centre_of_Excellence_and_the_African_Union_,"['Centre_of_Excellence', 'Country_strategic_planning', 'Food_systems', 'Partnerships', 'School_meals', 'Smallholder_agricultural_market_support', 'Nutrition']"
Brazil_CoE_Good_Practices_no_2_Financing_School_Fe,"['Procurement', 'Food_Assistance_for_Assets', 'Funding_and_donors', 'Partnerships', 'Food_Assistance', 'Nutrition', 'School_meals', 'Food_systems', 'Food_security_analysis', 'Energy_for_food_security']"
Building_and_maintaining_social_protection_systems,"['Governance_and_leadership', 'Resilience_building', 'Country_Capacity_Strengthening', 'Social_Protection_and_Safety_Nets', 'Resilience_programming', 'Humanitarian_Support_and_Services', 'Logistics_and_delivery_networks', 'Cash_transfers']"
CERFAM_Strategic_Partnership_Framework_2020_2022,"['Zero_Hunger', 'Monitoring', 'Partnerships', 'Food_security_analysis', 'Energy_for_food_security', 'Food_Assistance', 'Country_Capacity_Strengthening', 'Humanitarian_Support_and_Services', 'Food_Assistance_for_Assets', 'Funding_and_donors']"
Cambodia_KOICA_supported_Home_Grown_School_Feeding,"['The_R4_Rural_Resilience_Initiative', 'Procurement', 'Environmental_and_social_sustainability', 'Funding_and_donors', 'Gender_equality', 'Smallholder_agricultural_market_support', 'Programme_design']"
Caribbean_Food_Security_and_Livelihoods_Survey_Reg,"['Emergency_Preparedness_and_Response', 'Emergencies', 'Resilience_building', 'Food_security_analysis', 'Energy_for_food_security', 'The_R4_Rural_Resilience_Initiative', 'Food_systems', 'Food_safety_and_quality', 'Food_Security_Cluster', 'Sustainable_livelihoods_and_ecosystems']"
Cash_assistance_and_social_benefits_in_Ukraine_Jul,"['Cash_transfers', 'Humanitarian_Support_and_Services', 'Rome_based_agencies', 'Food_Assistance_for_Assets', 'Food_Assistance', 'Food_fortification', 'Social_Protection_and_Safety_Nets', 'Funding_and_donors']"
Clean_and_Modern_Energy_for_Cooking_A_Path_to_Food,"['Analyses_and_assessments', 'Humanitarian_Support_and_Services', 'Local_market_developments', 'Innovation', 'Food_security_analysis', 'Food_Assistance', 'Partnerships', 'Food_systems', 'Energy_for_food_security']"
Clean_cooking_solutions_in_Malawi,"['Environmental_and_social_sustainability', 'Procurement', 'Sustainable_livelihoods_and_ecosystems', 'Analyses_and_assessments', 'Nutrition', 'School_meals', 'Food_security_analysis', 'Sustainable_development_goals', 'Energy_for_food_security', 'Seasonal_and_agricultural_monitoring']"
Climate_Risk_Insurance_A_key_tool_to_achieve_resil,"['Climate_risk_management_insurance_and_financing', 'Humanitarian_Support_and_Services', 'Climate_change_adaptation', 'Environmental_and_social_sustainability', 'Sustainable_livelihoods_and_ecosystems', 'The_R4_Rural_Resilience_Initiative', 'Resilience_building', 'Energy_for_food_security', 'Sustainable_development_goals']"
Corporate_Emergency_Evaluation_of_WFP_s_Response_i,"['Country_Capacity_Strengthening', 'The_R4_Rural_Resilience_Initiative', 'Funding_and_donors', 'Humanitarian_Support_and_Services', 'Partnerships', 'Food_Assistance_for_Assets', 'Food_security_analysis', 'Cash_transfers', 'School_meals', 'Resilience_building']"
Corporate_Results_Framework_2022_2025,"['Executive_Board', 'Partnerships', 'Smallholder_agricultural_market_support', 'Emergency_Preparedness_and_Response', 'The_R4_Rural_Resilience_Initiative', 'Country_Capacity_Strengthening', 'Sustainable_development_goals', 'Food_Assistance_for_Assets', 'Food_security_analysis']"
Cost_of_the_Diet_Analysis_in_Samoa_August_2025,"['Environmental_and_social_sustainability', 'Food_Assistance', 'Nutrition', 'Specialized_nutritious_food', 'Food_systems', 'Food_safety_and_quality', 'Food_security_analysis', 'School_meals', 'Sustainable_development_goals', 'Energy_for_food_security']"
DRC_WFP_UNHAS_Flash_Appeal_May_2024,"['UN_Humanitarian_Air_Service', 'Humanitarian_Support_and_Services', 'UN_agencies_and_international_institutions', 'Resilience_building', 'Emergency_Preparedness_and_Response', 'Logistics_and_delivery_networks', 'Emergencies', 'Emergency_relief', 'Information_Technology_and_Telecommunications_in_Emergencies', 'The_R4_Rural_Resilience_Initiative']"
Delivering_shock_responsive_social_protection_in_t,"['Cash_transfers', 'Humanitarian_Support_and_Services', 'Funding_and_donors', 'Resilience_building', 'Resilience_programming', 'Partnerships', 'Climate_risk_management_insurance_and_financing', 'The_R4_Rural_Resilience_Initiative', 'Logistics_and_delivery_networks']"
Developmental_Evaluation_of_Catalyzing_Good_Food_T,"['Funding_and_donors', 'Partnerships', 'Food_systems', 'Gender_equality', 'School_meals', 'Sustainable_livelihoods_and_ecosystems', 'The_R4_Rural_Resilience_Initiative', 'Nutrition', 'Food_security_analysis', 'Food_safety_and_quality']"
Diagnostic_report_on_Gender_Social_Cohesion_Socio_,"['Humanitarian_Support_and_Services', 'Food_security_analysis', 'Food_safety_and_quality', 'Migration', 'Food_Assistance', 'The_R4_Rural_Resilience_Initiative', 'Resilience_programming', 'Gender_equality', 'Energy_for_food_security']"
Disability_Inclusive_Early_Warning_Messages_in_Lao,"['Resilience_programming', 'Emergencies', 'Partnerships', 'Emergency_Preparedness_and_Response', 'The_R4_Rural_Resilience_Initiative', 'Resilience_building', 'Climate_action', 'Emergency_relief', 'Humanitarian_Support_and_Services', 'Information_Technology_and_Telecommunications_in_Emergencies']"
Disaster_risk_financing_Annual_Report,"['Logistics_and_delivery_networks', 'Anticipatory_Action', 'Emergency_Preparedness_and_Response', 'Sustainable_livelihoods_and_ecosystems', 'The_R4_Rural_Resilience_Initiative', 'Resilience_building', 'Climate_services', 'Climate_risk_management_insurance_and_financing', 'Food_systems', 'Sustainable_development_goals']"
Does_Climate_Insurance_Work_Evidence_from_WFP_Supp,"['Social_Protection_and_Safety_Nets', 'Climate_risk_management_insurance_and_financing', 'Resilience_building', 'Food_security_analysis', 'Sustainable_livelihoods_and_ecosystems', 'Smallholder_agricultural_market_support', 'Energy_for_food_security', 'Resilience_programming', 'Cash_transfers', 'The_R4_Rural_Resilience_Initiative']"
Economic_Impact_of_Using_Fortified_Rice_in_Cambodi,"['Specialized_nutritious_food', 'Nutrition', 'Partnerships', 'Food_Assistance', 'Food_security_analysis', 'School_meals', 'Food_fortification', 'Energy_for_food_security', 'Food_safety_and_quality']"
Egypt_Smallholders_climate_portfolio_2021_2025_Eva,"['Independent_evaluation', 'Analyses_and_assessments', 'Climate_change_adaptation', 'Monitoring_evaluation_and_learning', 'Resilience_building', 'The_R4_Rural_Resilience_Initiative', 'Sustainable_development_goals', 'Nutrition', 'Specialized_nutritious_food', 'Food_security_analysis']"
Emergency_Preparedness_and_Response_in_Madagascar,"['Emergency_Preparedness_and_Response', 'Anticipatory_Action', 'UN_Humanitarian_Air_Service', 'Energy_for_food_security', 'Nutrition', 'Climate_change_adaptation', 'Food_security_analysis', 'Food_safety_and_quality', 'Food_Assistance', 'Food_Assistance_for_Assets']"
Empowering_Countries_to_achieve_Zero_Hunger,"['Nutrition', 'Smallholder_agricultural_market_support', 'Food_security_analysis', 'Sustainable_development_goals', 'Centre_of_Excellence', 'Zero_Hunger', 'Partnerships', 'School_meals', 'Energy_for_food_security', 'Private_sector']"
End_of_Project_Report_HS3_Strengthening_public_hea,"['Humanitarian_Support_and_Services', 'Partnerships', 'The_R4_Rural_Resilience_Initiative', 'Sustainable_development_goals', 'Monitoring', 'HIV_and_tuberculosis', 'Logistics_and_delivery_networks', 'UN_Humanitarian_Air_Service', 'Corporate_strategy', 'Supply_chain']"
End_of_Project_Report_HS3_Strengthening_public_hea-checkpoint,"['Humanitarian_Support_and_Services', 'Partnerships', 'The_R4_Rural_Resilience_Initiative', 'Sustainable_development_goals', 'Monitoring', 'HIV_and_tuberculosis', 'Logistics_and_delivery_networks', 'UN_Humanitarian_Air_Service', 'Corporate_strategy', 'Supply_chain']"
Enhancing_financial_protection_The_five_impact_pat,"['Resilience_programming', 'Innovation', 'Resilience_building', 'Food_Assistance_for_Assets', 'Climate_risk_management_insurance_and_financing', 'The_R4_Rural_Resilience_Initiative', 'Food_security_analysis', 'Sustainable_livelihoods_and_ecosystems', 'Food_safety_and_quality', 'Energy_for_food_security']"
Environmental_and_Social_Management_Plan_Annex_to_,"['Environmental_and_social_sustainability', 'Emergency_Preparedness_and_Response', 'Sustainable_development_goals', 'Monitoring', 'Emergency_programming', 'Energy_for_food_security', 'Analyses_and_assessments']"
Environmental_and_social_impact_assessment_report_,"['Funding_and_donors', 'Climate_change_adaptation', 'Environmental_and_social_sustainability', 'Sustainable_livelihoods_and_ecosystems', 'The_R4_Rural_Resilience_Initiative', 'Nutrition', 'Partnerships', 'Sustainable_development_goals', 'Resilience_building', 'Gender_equality']"
Essential_Needs_Assessment_for_Productive_Social_S,"['Food_security_analysis', 'Food_Assistance_for_Assets', 'Nutrition', 'Food_Assistance', 'Cash_transfers', 'Food_safety_and_quality', 'Energy_for_food_security', 'Food_fortification', 'School_meals', 'Specialized_nutritious_food']"
Ethiopia_Endline_Evaluation_of_Satellite_Index_Ins,"['Partnerships', 'Humanitarian_Support_and_Services', 'Sustainable_livelihoods_and_ecosystems', 'The_R4_Rural_Resilience_Initiative', 'Gender_equality', 'Nutrition', 'Sustainable_development_goals', 'Cash_transfers', 'Food_security_analysis', 'Private_sector']"
Ethiopia_Final_Evaluation_of_the_Rural_Resilience_,"['Independent_evaluation', 'Analyses_and_assessments', 'Monitoring_evaluation_and_learning', 'Gender_equality', 'Partnerships', 'Resilience_programming', 'Social_Protection_and_Safety_Nets', 'Resilience_building', 'The_R4_Rural_Resilience_Initiative', 'Food_security_analysis']"
Ethiopia_Food_for_Education_and_Child_Nutrition_20,"['Food_safety_and_quality', 'Environmental_and_social_sustainability', 'Procurement', 'Monitoring_evaluation_and_learning', 'Sustainable_development_goals', 'Food_security_analysis', 'Energy_for_food_security', 'Independent_evaluation', 'Nutrition', 'School_meals']"
Evaluation_Synthesis_of_WFP_s_Performance_Measurem,"['Monitoring_evaluation_and_learning', 'Country_Capacity_Strengthening', 'Analyses_and_assessments', 'Resilience_programming', 'Country_strategic_planning', 'Monitoring', 'Resilience_building', 'Gender_equality', 'The_R4_Rural_Resilience_Initiative', 'School_meals']"
Evaluation_of_Burkina_Faso_WFP_Country_Strategic_P,"['Climate_change_adaptation', 'Sustainable_development_goals', 'Climate_services']"
Evaluation_of_China_WFP_Country_Strategic_Plan_202,"['Partnerships', 'Smallholder_agricultural_market_support', 'Nutrition', 'Environmental_and_social_sustainability', 'Country_strategic_planning', 'The_R4_Rural_Resilience_Initiative', 'Country_Capacity_Strengthening', 'Gender_equality', 'School_meals', 'South_South_cooperation']"
Evaluation_of_Democratic_Republic_of_the_Congo_WFP,"['Zero_Hunger', 'Gender_equality']"
